,RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime
29380,25200,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,175.0,441.0,CORONA AV/51 AV,approaching,47.0,,06:59:47
31839,25800,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,166.0,370.0,CORONA AV/90 ST,at stop,5.0,2017-08-01 07:11:41,07:09:53
34453,26400,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,96.0,304.0,GRAND AV/69 PL,< 1 stop away,181.0,2017-08-01 07:23:24,07:23:58
37247,27000,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,50.0,271.0,FRESH POND RD/60 AV,approaching,145.0,2017-08-01 07:32:36,07:31:32
40119,27600,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,-7.0,288.0,PUTNAM AV/FOREST AV,< 1 stop away,365.0,2017-08-01 07:43:13,07:40:53
43135,28200,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,-43.0,237.0,PALMETTO ST/WYCKOFF AV,approaching,112.0,2017-08-01 07:52:34,07:49:00
46201,28800,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-15.0,266.0,MADISON ST/FAIRVIEW AV,approaching,58.0,2017-08-01 08:02:31,07:58:47
49288,29400,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,37.0,274.0,FRESH POND RD/FLUSHING AV,< 1 stop away,706.0,2017-08-01 08:14:47,08:13:05
52373,30000,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,110.0,323.0,GRAND AV/74 ST,approaching,65.0,2017-08-01 08:22:36,08:19:35
55398,30600,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,170.0,376.0,CORONA AV/91 PL,at stop,13.0,2017-08-01 08:31:51,08:27:15
58392,31200,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,147.0,453.0,108 ST/HORACE HARDING EXPWY,at stop,4.0,2017-08-01 08:42:33,08:36:33
61330,31800,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,228.0,522.0,41 RD/MAIN ST,< 1 stop away,527.0,2017-08-01 08:54:18,08:50:00
64175,32400,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,242.0,534.0,41 RD/MAIN ST,at stop,30.0,2017-08-01 09:02:41,08:50:00
66920,33000,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,226.0,523.0,COLLEGE PT BL/FOWLER AV,< 1 stop away,225.0,2017-08-01 09:12:46,09:08:31
69509,33600,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,169.0,444.0,108 ST/MARTENSE AV,at stop,15.0,2017-08-01 09:21:48,09:18:47
72004,34200,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,159.0,363.0,BROADWAY/CORONA AV,< 1 stop away,167.0,2017-08-01 09:32:51,09:31:18
74402,34800,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,99.0,308.0,GRAND AV/69 PL,< 1 stop away,278.0,2017-08-01 09:42:47,09:41:32
76737,35400,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,23.0,277.0,FRESH POND RD/MENAHAN ST,< 1 stop away,170.0,2017-08-01 09:53:01,09:52:08
78993,36000,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,-12.0,273.0,PUTNAM AV/WOODWARD AV,< 1 stop away,289.0,2017-08-01 10:04:01,09:59:39
81171,36600,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,-41.0,238.0,PALMETTO ST/WYCKOFF AV,approaching,55.0,2017-08-01 10:12:55,10:07:00
83271,37200,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,-41.0,238.0,PALMETTO ST/WYCKOFF AV,approaching,55.0,2017-08-01 10:22:02,10:07:00
85348,37800,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-10.0,291.0,FRESH POND RD/PUTNAM AV,approaching,95.0,2017-08-01 10:33:11,10:30:00
87397,38400,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,77.0,278.0,GRAND AV/69 PL,< 1 stop away,596.0,2017-08-01 10:45:23,10:42:40
89418,39000,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,140.0,359.0,GRAND AV/QUEENS BL,at stop,21.0,2017-08-01 10:52:40,10:49:48
91413,39600,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,179.0,416.0,108 ST/53 AV,< 1 stop away,740.0,2017-08-01 11:05:55,11:00:26
93397,40200,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,170.0,506.0,COLLEGE PT BL/58 RD,< 1 stop away,459.0,2017-08-01 11:14:09,11:10:00
95386,40800,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,229.0,522.0,41 RD/MAIN ST,< 1 stop away,514.0,2017-08-01 11:24:37,11:16:00
97382,41400,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,LTD FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,243.0,535.0,41 RD/MAIN ST,at stop,0.0,,11:16:00
99364,42000,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,LTD RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,167.0,489.0,108 ST/HORACE HARDING EP,0.6 miles away,987.0,2017-08-01 11:44:46,11:44:32
101332,42600,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,LTD RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,169.0,398.0,CORONA AV/JUNCTION BL,at stop,8.0,2017-08-01 11:52:45,11:51:37
103319,43200,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,LTD RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,111.0,327.0,GRAND AV/74 ST,< 1 stop away,156.0,2017-08-01 12:03:13,12:01:16
105328,43800,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,LTD RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,69.0,269.0,FRESH POND RD/FLUSHING AV,approaching,93.0,2017-08-01 12:12:37,12:07:16
107342,44400,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,LTD RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,-6.0,289.0,PUTNAM AV/FRESH POND RD,at stop,5.0,2017-08-01 12:22:49,12:16:00
109364,45000,1,Q58,41 RD/MAIN ST,40.757389,-73.82929200000001,LTD RIDGEWOOD TERM,40.699699,-73.910767,NYCT_6518,-44.0,236.0,PALMETTO ST/WYCKOFF AV,approaching,135.0,2017-08-01 12:33:03,12:26:00
113434,46200,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-36.0,241.0,PALMETTO ST/MYRTLE AV,at stop,0.0,,12:46:00
115487,46800,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-36.0,241.0,PALMETTO ST/MYRTLE AV,at stop,0.0,,12:53:00
117548,47400,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-36.0,241.0,PALMETTO ST/MYRTLE AV,at stop,0.0,,13:08:00
119629,48000,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-36.0,241.0,PALMETTO ST/MYRTLE AV,at stop,0.0,,13:16:00
121748,48600,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-36.0,241.0,PALMETTO ST/MYRTLE AV,at stop,0.0,,13:31:00
123849,49200,0,Q58,PALMETTO ST/MYRTLE AV,40.700176,-73.910255,FLUSHING MAIN ST,40.757343,-73.82936099999999,NYCT_6518,-36.0,241.0,PALMETTO ST/MYRTLE AV,at stop,0.0,,13:31:00
125969,49800,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-49.0,172.0,MYRTLE AV/SUYDAM ST,approaching,36.0,,13:47:46
128131,50400,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-57.0,122.0,MYRTLE AV/THROOP AV,at stop,15.0,,13:55:03
130322,51000,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-67.0,54.0,MYRTLE AV/GRAND AV,< 1 stop away,221.0,,14:07:54
132541,51600,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-70.0,3.0,MYRTLE AV/N PORTLAND AV,at stop,16.0,,14:14:54
134790,52200,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-68.0,-38.0,JAY ST/MYRTLE PLZ,approaching,72.0,,14:22:00
137049,52800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-63.0,-26.0,MYRTLE AV/FLEET PL,< 1 stop away,287.0,2017-08-01 14:44:26,14:43:54
139368,53400,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-70.0,37.0,MYRTLE AV/WASHINGTON AV,at stop,12.0,2017-08-01 14:53:00,14:56:04
141736,54000,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-62.0,87.0,MYRTLE AV/NOSTRAND AV,at stop,29.0,2017-08-01 15:03:00,15:07:00
144134,54600,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-52.0,150.0,MYRTLE AV/BROADWAY,at stop,24.0,2017-08-01 15:13:02,15:20:00
146579,55200,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-44.0,211.0,MYRTLE AV/KNICKERBOCKER AV,at stop,16.0,2017-08-01 15:22:31,15:28:49
149083,55800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-34.0,243.0,PALMETTO ST/ST NICHOLAS AV,approaching,38.0,,
151632,56400,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-34.0,243.0,PALMETTO ST/ST NICHOLAS AV,approaching,38.0,,
154210,57000,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-42.0,224.0,MYRTLE AV/IRVING AV,at stop,16.0,2017-08-01 15:53:08,15:50:50
156836,57600,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-47.0,188.0,MYRTLE AV/DE KALB AV,at stop,8.0,2017-08-01 16:02:37,15:57:33
159509,58200,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-58.0,113.0,MYRTLE AV/TOMPKINS AV,approaching,95.0,2017-08-01 16:12:40,16:11:34
162239,58800,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-69.0,45.0,MYRTLE AV/GRAND AV,at stop,3.0,2017-08-01 16:23:05,16:23:34
165009,59400,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-72.0,-30.0,METROTECH UNDERPASS/LAWRENCE ST,approaching,116.0,2017-08-01 16:33:23,16:36:37
167810,60000,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-66.0,-38.0,JAY ST/MYRTLE PLZ,approaching,43.0,2017-08-01 16:43:16,16:38:00
170623,60600,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-69.0,-22.0,MYRTLE AV/FLEET PL,approaching,126.0,2017-08-01 16:53:53,16:53:02
173502,61200,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-70.0,37.0,MYRTLE AV/WASHINGTON AV,at stop,7.0,2017-08-01 17:03:11,17:03:55
176369,61800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-61.0,93.0,MYRTLE AV/MARCY AV,< 1 stop away,157.0,2017-08-01 17:13:23,17:16:02
179250,62400,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-53.0,149.0,MYRTLE AV/BROADWAY,approaching,44.0,2017-08-01 17:23:45,17:25:00
182106,63000,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-45.0,202.0,MYRTLE AV/WILSON AV,at stop,18.0,2017-08-01 17:33:10,17:31:22
185010,63600,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-36.0,242.0,MYRTLE AV/GATES AV,< 1 stop away,161.0,2017-08-01 17:42:44,17:47:09
187879,64200,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-43.0,215.0,MYRTLE AV/KNICKERBOCKER AV,approaching,57.0,2017-08-01 17:53:26,17:50:54
190698,64800,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-51.0,160.0,MYRTLE AV/BROADWAY,< 1 stop away,271.0,2017-08-01 18:04:25,18:01:00
193502,65400,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-60.0,104.0,MYRTLE AV/MARCY AV,approaching,85.0,2017-08-01 18:12:43,18:08:57
196259,66000,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-69.0,45.0,MYRTLE AV/GRAND AV,at stop,16.0,2017-08-01 18:23:15,18:18:15
198972,66600,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-70.0,-6.0,MYRTLE AV/NAVY ST,approaching,92.0,2017-08-01 18:33:47,18:26:37
201605,67200,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-67.0,-38.0,JAY ST/MYRTLE PLZ,approaching,48.0,2017-08-01 18:42:52,18:32:00
204183,67800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-68.0,-24.0,MYRTLE AV/FLEET PL,< 1 stop away,182.0,2017-08-01 18:53:41,18:51:42
206679,68400,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-70.0,37.0,MYRTLE AV/WASHINGTON AV,at stop,7.0,2017-08-01 19:02:51,19:00:36
209068,69000,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-62.0,87.0,MYRTLE AV/NOSTRAND AV,at stop,18.0,2017-08-01 19:12:45,19:09:00
211389,69600,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-52.0,150.0,MYRTLE AV/BROADWAY,at stop,8.0,2017-08-01 19:22:27,19:18:00
213609,70200,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-43.0,212.0,MYRTLE AV/MENAHAN ST,< 1 stop away,222.0,2017-08-01 19:34:56,19:26:44
215753,70800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-34.0,243.0,,,,,
217809,71400,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-34.0,243.0,,,,,
219784,72000,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-34.0,243.0,,,,,
221680,72600,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-34.0,243.0,,,,,
223518,73200,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-34.0,243.0,,,,,
225289,73800,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-38.0,240.0,MYRTLE AV/GATES AV,approaching,96.0,,20:30:55
226974,74400,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-50.0,168.0,MYRTLE AV/CHARLES PL,approaching,85.0,,20:40:02
228581,75000,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-60.0,103.0,MYRTLE AV/MARCY AV,approaching,44.0,,20:49:10
230142,75600,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-71.0,19.0,MYRTLE AV/CARLTON AV,approaching,101.0,,20:59:50
231656,76200,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-71.0,-37.0,JAY ST/MYRTLE PLZ,< 1 stop away,176.0,,21:07:00
233110,76800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-57.0,-29.0,MYRTLE AV/FLEET PL,< 1 stop away,448.0,,21:24:50
234526,77400,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-71.0,27.0,MYRTLE AV/VANDERBILT AV,at stop,22.0,2017-08-01 21:33:28,21:31:00
235892,78000,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-64.0,78.0,MYRTLE AV/WALWORTH ST,approaching,130.0,2017-08-01 21:44:06,21:39:17
237217,78600,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-52.0,152.0,MYRTLE AV/BUSHWICK AV,< 1 stop away,263.0,2017-08-01 21:54:30,21:48:10
238472,79200,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-39.0,236.0,GATES AV/WYCKOFF AV,approaching,41.0,2017-08-01 22:03:27,21:55:06
239665,79800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-39.0,236.0,GATES AV/WYCKOFF AV,approaching,41.0,2017-08-01 22:13:32,21:55:06
240832,80400,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-46.0,192.0,MYRTLE AV/DE KALB AV,approaching,88.0,2017-08-01 22:23:30,22:21:27
241953,81000,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-62.0,90.0,MYRTLE AV/NOSTRAND AV,approaching,31.0,2017-08-01 22:33:32,22:32:00
243036,81600,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-70.0,13.0,MYRTLE AV/N PORTLAND AV,< 1 stop away,264.0,2017-08-01 22:44:32,22:41:20
244063,82200,1,B54,PALMETTO ST/ST NICHOLAS AV,40.70042,-73.91023299999999,DNTWN BKLYN JAY ST via MYRTLE,40.694489000000004,-73.987122,NYCT_6518,-67.0,-38.0,JAY ST/MYRTLE PLZ,approaching,54.0,2017-08-01 22:53:32,22:47:00
245046,82800,0,B54,JAY ST/MYRTLE PLZ,40.694503999999995,-73.987122,RIDGEWOOD TERM via MYRTLE,40.700527,-73.910149,NYCT_6518,-71.0,25.0,MYRTLE AV/VANDERBILT AV,approaching,74.0,2017-08-01 23:03:23,23:05:00
